uuid,fk
2d9cf404-c507-4085-b3b3-00448870c2fa,1990.858S
2743ecda-1f9d-4801-93f0-b14f4443a459,2017-007883PRJ
5a3be154-7e56-4d8b-a06d-88a6c976e15f,86-076
938a3d7d-3ee0-4efd-b7e7-d87d8caa1c0d,8982ZAD
da8d58fa-7759-4863-b8d6-95d29aab7699,2016-001514PPA
da8d58fa-7759-4863-b8d6-95d29aab7699,-122.389797269 37.787587174
9dc67f07-3edc-4c55-b5b5-7b1d08989e80,MB1301338
e21789ab-939d-4ed4-b60d-b2bd0689badf,2004.0049E
d97cd7ed-74ef-4123-aa25-1c3a3a56723e,2007.1121X
4a65c7c8-8679-4e08-b301-2ab5080c75c1,2007.0023
4a65c7c8-8679-4e08-b301-2ab5080c75c1,2007.0023C
8c22588e-afec-4fb7-bf7b-457d8bfc49ab,88-171
4bd04520-9b1d-472c-ad9f-701668f5a6d6,2007.0530
4bd04520-9b1d-472c-ad9f-701668f5a6d6,2007.0530D
c47c2468-4340-4018-94fd-be1169e3f80f,11821_ENF
3e63721f-8855-4af6-90aa-bc5aaa3bbbae,1986.146C
da8d58fa-7759-4863-b8d6-95d29aab7699,2016-001514CUA
ae71a560-235c-47d7-b863-8126275e0cb6,1997.055Q
5f5fc9a1-bebc-416a-9d3b-5ab1488ec787,09-053
68e7780d-ec4a-44b9-80f1-e14d9ddcd4b8,2007.1121K
4f458cbe-e9ec-40db-9f42-8cbb13a1eea3,6559PRV
e21789ab-939d-4ed4-b60d-b2bd0689badf,2004.0049A
1579e619-ab93-4ff6-af6e-e3c1c30456be,2012.1313
1579e619-ab93-4ff6-af6e-e3c1c30456be,2012.1313E
6233dd6f-c70b-4a93-ac26-f18ac9e5c9c1,2008.1150
6233dd6f-c70b-4a93-ac26-f18ac9e5c9c1,2008.1150C
839312fe-7fbe-49eb-82c6-b50c9994bb7b,7798PRV
ad94f3b5-baf7-4fd5-9054-b4eb9fb2ed6c,2000.351
ad94f3b5-baf7-4fd5-9054-b4eb9fb2ed6c,2000.351R
c370eeae-dd44-4bb8-907b-af5d1e081e3c,2017-006969PRL
b6cae985-ee8d-474a-a934-8a8fc93c48a9,2007.1121V
3a62a6d1-dbdb-4609-91e2-34d5eeac93de,2015-011205ENV
9e4e4871-ce9a-42d7-b154-b4296a308363,2017-001417GPR
33459e0d-db91-447d-8a23-c46d7437431e,3890_ENF
7d0213ce-4ecc-4738-a73b-c8145e1b0104,2015-004681PRL
0dd46a36-e8ae-490d-bf42-3c7c3ff72aa9,2003.1310Q
e803fd91-90e2-45bf-8957-71008167a4e7,2018-003850MIS
b916bbbc-b0e0-4ee7-9d1d-cdc4502a3b9f,96-046
7c0b981e-8159-4fd0-9774-c911894c84d2,11460_ENF
fd19fb8b-4bc9-41b4-bf7c-12cb1b65567a,2015-015758GEN
e21789ab-939d-4ed4-b60d-b2bd0689badf,2004.0049
e21789ab-939d-4ed4-b60d-b2bd0689badf,2004.0049C
e21789ab-939d-4ed4-b60d-b2bd0689badf,2004.0049V
220c1fee-608c-481b-a4f3-59d62373c253,2014-002033DNX
af30847c-dd2e-40dd-acf8-ff2c81785587,2008.1186A
823c22d1-c4ed-405f-ab87-6721d0f45abe,2003.0784S
bb25eabc-ce34-4b37-a4b0-bfb1ce9adc88,2016-012485ENF
12b69083-ff72-44cd-a6cb-3dfe4e24591d,10606PRV
3a62a6d1-dbdb-4609-91e2-34d5eeac93de,2015-011205PRJ
ae71a560-235c-47d7-b863-8126275e0cb6,1997.055
ae71a560-235c-47d7-b863-8126275e0cb6,1997.055D
4b46967c-5f66-4ba9-b7f0-ab9f9198b471,2004.0661
4b46967c-5f66-4ba9-b7f0-ab9f9198b471,2004.0661D
855c8801-30c8-4646-ac64-2b091ca305f9,2000.576C
54e135d5-ef7d-428a-89af-62f1440d1563,2015-001373MIS
82846d7d-ca8b-4619-b7d6-022c4f0081e7,2016-015522ENF
e8c39c62-ef02-4904-a717-cc198abbf331,863PRV
e8c39c62-ef02-4904-a717-cc198abbf331,"-122.390146674 37.787310971)))"""
f4656243-109f-4012-ba58-bcac61e0c2db,2002.0430C
0dd46a36-e8ae-490d-bf42-3c7c3ff72aa9,2003.1310
f4656243-109f-4012-ba58-bcac61e0c2db,2002.0430
f468db31-78be-4da4-897b-06c36c11093d,2016-010699ENF
220c1fee-608c-481b-a4f3-59d62373c253,2014-002033TDM
220c1fee-608c-481b-a4f3-59d62373c253,2014-002033PRJ
220c1fee-608c-481b-a4f3-59d62373c253,2014-002033PPA
