uuid,fk
8ccd2a6a-937d-4e7f-8dde-4ff53d959cf9,ppts_1990.858S
8ccd2a6a-937d-4e7f-8dde-4ff53d959cf9,ppts_1990.858
cef941aa-ea88-4c21-bfbe-c0f55c8f6991,ppts_2002.0809E
cef941aa-ea88-4c21-bfbe-c0f55c8f6991,ppts_2002.0809
73486039-ac25-4ac1-9abb-7d179fd4bb1c,ppts_2017-007883PRJ
c3a1c4dc-f480-49cb-8219-d52bfffb8626,ppts_86-076
e495f52f-1c7d-459d-b207-1280726b70d1,ppts_2010.0766E
e495f52f-1c7d-459d-b207-1280726b70d1,ppts_2010.0766
b075f1db-0aca-4e85-9cd4-91d3baa42631,ppts_8982ZAD
16484f2c-4c1e-4b12-b571-6ccbe1cf4ec8,ppts_2016-001514PPA
01ecde82-cd3d-438c-b422-c7b203ab98c4,ppts_MB1301338
aa25d684-4bbd-406c-b023-4861211cc1ed,ppts_2004.0049E
aa25d684-4bbd-406c-b023-4861211cc1ed,ppts_2004.0049
cef941aa-ea88-4c21-bfbe-c0f55c8f6991,ppts_2002.0809F
822b88fd-4204-4bdb-8d3f-28b82fdb56ca,ppts_2007.1121X
99aa7481-dbee-443d-878e-65ad737674ac,ppts_2007.0023
99aa7481-dbee-443d-878e-65ad737674ac,ppts_2007.0023C
b1b5cc86-557c-4b8a-be8e-ede1dac88a35,ppts_88-171
00e6180e-03e2-4116-a1d5-b5c978e87518,ppts_2007.0530
f1d1f615-ec21-4bb2-b6fe-dcd4cac021eb,ppts_11821_ENF
82693d0c-0c38-4acf-ab7c-08d79e4b4e18,ppts_1986.146C
82693d0c-0c38-4acf-ab7c-08d79e4b4e18,ppts_1986.146
cef941aa-ea88-4c21-bfbe-c0f55c8f6991,ppts_2002.0809C
16484f2c-4c1e-4b12-b571-6ccbe1cf4ec8,ppts_2016-001514CUA
16484f2c-4c1e-4b12-b571-6ccbe1cf4ec8,ppts_2016-001514PRJ
2c3812a1-e405-4938-b44a-79b70bc6a386,ppts_1997.055Q
2c3812a1-e405-4938-b44a-79b70bc6a386,ppts_1997.055
5e5f6744-1a86-4325-84e9-bc05131db0f4,ppts_2017-016475ENF
522c63cf-2067-4fb6-9044-f5e648a62fa3,ppts_09-053
b923bf78-0c03-4639-a259-f1276a3cc372,ppts_2007.1121K
7a67a875-a095-455c-8c71-2feeb7bcbece,ppts_2016-015839PRV
cef941aa-ea88-4c21-bfbe-c0f55c8f6991,ppts_2002.0809K
ad2996f3-f239-4f0c-af43-5a84479a3add,ppts_6559PRV
aa25d684-4bbd-406c-b023-4861211cc1ed,ppts_2004.0049A
cc63ff76-2e4c-4171-9f04-a5cf1cfab94e,ppts_2012.1313
dabb5fd6-9e8f-4e8a-8ad6-95c4fe653d1e,ppts_2008.1150
dabb5fd6-9e8f-4e8a-8ad6-95c4fe653d1e,ppts_2008.1150C
2df2808f-6172-4a5d-bb65-f1ee6fd78928,ppts_7798PRV
299a59e5-5970-4b37-8c61-fd575a7b79f3,ppts_2000.351
299a59e5-5970-4b37-8c61-fd575a7b79f3,ppts_2000.351R
3c09a083-45eb-4b1b-90da-11979e616721,ppts_2017-006969PRL
7057d0c1-a32a-49ed-8973-1312f3d39e0a,ppts_2007.1121V
d851670e-8e14-4498-986c-891e2bec371c,ppts_2015-011205ENV
d851670e-8e14-4498-986c-891e2bec371c,ppts_2015-011205PRJ
918e50f7-d736-4d8b-aba4-ee156a04ae11,ppts_2017-001417GPR
cb480045-447f-420b-9448-ec53bfb44242,ppts_3890_ENF
7e26b786-3900-4470-a309-a38e4a605d6a,ppts_2015-014058PRJ
58657a97-02be-4b86-9074-68f6b548b041,ppts_2015-004681PRL
00d3946d-612e-4ff0-8531-554cd17f7e7c,ppts_2003.1310Q
00d3946d-612e-4ff0-8531-554cd17f7e7c,ppts_2003.1310
d703083c-0221-4a15-a1d1-9b9a7331b90e,ppts_2018-003850MIS
544de11f-b298-43ab-b019-5288a2555494,ppts_96-046
0b103f5d-c472-4185-9518-15989b013210,ppts_11460_ENF
3c37b701-97af-4485-bc3c-e51cdeedc83f,ppts_2015-015758GEN
aa25d684-4bbd-406c-b023-4861211cc1ed,ppts_2004.0049C
aa25d684-4bbd-406c-b023-4861211cc1ed,ppts_2004.0049V
1baa5d68-4339-4c1d-a00e-7cc7dee803c2,ppts_2014-002033DNX
