APPLICATION_NUMBER,ADDENDA_NUMBER,STEP,STATION,ARRIVE,START_DATE,IN_HOLD,OUT_HOLD,FINISH_DATE,PLAN_CHECKED_BY,HOLD_DESCRIPTION
201609218371,0,1,CPB,2016/09/21,2016/09/21,,,2016/09/21,CHEUNG WAI FONG,9/21/16: PAYMENT DEFERRED TO 1ST ADDENDUM ISSUANCE. WF
201609218371,0,2,CP-ZOC,2016/09/21,2017/02/08,,2017/05/16,2017/06/30,DURANDET KIMBERLY,Parallel priority processing 100% affordable housing. Route plans back to CP-ZOC prior to issuance for signature.
201609218371,0,4,BLDG,2017/05/16,2017/05/31,,,2017/08/29,MCELROY CAREY,
201609218371,0,5,SFFD,2017/06/20,2017/08/04,2017/08/10,2017/08/25,2017/08/25,STUMPP FRED,8/10/17- Commnets issued to Arch via e-mail to Daniel Simons
201609218371,0,6,DPW-BSM,2017/09/01,2017/09/06,,,2017/09/06,DENNIS RASSENDYLL,"Approved 9/6/17 SITE Permit only.  ADDENDA requirement(s) for sign off:  Street Improvement (final inspection) Urban Forestry.  All sidewalk applications and plans MUST be applied IN-PERSON for intake at 1155 Market St, 3rd Floor.  Download sidewalk applications at http://www.sfpublicworks.org/services/permits. Only new trees can be applied ONLINE and UPLOAD plans through http://www.sfpublicworks.org/services/permits/street-trees-planting.  Your construction addenda will be ON-HOLD until all necessary PUBLIC WORKS-BSM permits are completed or plan checker(s) could recommend sign off to the satellite office via email. Street space only on mission no parking on wiese frontage -RD"
201609218371,0,7,SFPUC,2017/09/07,2017/09/27,,,2017/09/27,TOM BILL,Reviewed & assessed for capacity charges. DBI will collect charges. See invoice and meter upgrade letter attached to application. Route submittal to PPC 9/27/17.
201609218371,0,10,DFCU,2017/10/30,2017/10/30,,,2017/10/30,KREUSCHER DANIEL,8/25/17: The First Source Hiring MOU has been executed for this project.10/30/17 - impact fees prepared for collection.
201609218371,0,11,PPC,2017/10/30,2017/10/30,,,2017/10/30,CHEUNG DEREK,9/27/17: to CP-ZOC;cp9/7/17: to PUC;EC. 9/1/17: to BSM; am 8/25/17: Plans with Carey McElroy;EC. 6/20/17: to SFFD; dc5/16/17: to BLDG;Ec.
201609218371,0,12,CPB,2017/10/30,2017/11/01,,,2018/02/16,TORRES SHIRLEY,02/16/2018: issued. ST11/1/17: approved. SFUSD req'd. need Owner Builder form or letter from owner & contractor. gs9/5/17: SCHOOL FEE INPUTTED. SS
201609218371,0,9,CP-ZOC,2017/09/27,2017/10/27,,,2017/10/27,DURANDET KIMBERLY,Approved per NSR 2017-K528015-00
201609218371,0,3,CP-NP,2017/05/18,2017/05/31,,,2017/06/30,DURANDET KIMBERLY,"Notice period completed, no DR filed.Emailed cover letter 5/18/17 (Vlad)Mailed 311 Notice 5/31/17; Expired 6/30/17 (Vlad)"
201609218371,0,8,BLDG,2017/08/29,2017/08/29,,,2017/08/29,MCELROY CAREY,
201609218371,1,1,CPB,2018/02/20,2018/02/20,,,2018/02/20,TORRES SHIRLEY,
201609218371,1,2,BLDG,2018/02/20,2018/03/08,2018/03/15,,2018/10/11,ZEE HOWARD,recheck approved; to ppc.
201609218371,1,3,DPW-BSM,2018/03/16,2018/03/20,2018/03/20,2018/11/08,2018/11/08,YU ERIC,"APPROVED. 11/8/18: BSM sign off on Job Card required prior to DBI final.  Subject to all conditions of BSM: 18IE-0343 & 18MSE-0776. -EY11/1/18: BSM is ready to sign off. Please route the plans and original application into the BSM queue. (REF: 18IE-0343 & 18MSE-0776) -CCOn hold 3/20/18. ADDENDUM requirement(s) for sign off:  Street Improvement (Final Inspection) & Bureau of Urban Forestry.  Download sidewalk application(s) at http://www.sfpublicworks.org/services/permits/application-forms and submit them at 1155 Market Street, 3rd Floor. Only new trees can be applied ONLINE and UPLOAD plans through http://bsm.sfdpw.org/buftrees2/treeplanting.aspx.  Your construction addendum will be ON-HOLD until all necessary permit(s) are approved or the assigned BSM plan checker(s) may recommend sign off to the satellite office via email. Please call BSM main office at (415) 554-5810 or view http://www.sfpublicworks.org/informationalbrochures for permit application information.  -AZ"
