the_geom,OBJECTID,record_id,date_opened,record_status,date_closed,address,record_type,record_type_category,record_type_group,record_type_subtype,record_type_type,record_type_4level,record_name,description,planner_id,module,templateid,parent,children,constructcost,planner_name,planner_email,planner_phone,acalink,aalink,CHANGE_OF_USE,ADDITIONS,NEW_CONSTRUCTION,LEG_ZONE_CHANGE,DEMOLITION,LOT_LINE_ADJUST,FACADE_ALT,ROW_IMPROVE,OTHER_PRJ_DESC,SPECIAL_NEEDS,SENIOR,AFFORDABLE_UNITS,STUDENT,INCLUSIONARY,STATE_DENSITY_BONUS,ADU,FORMULA_RETAIL,MCD,TOBACCO,FINANCIAL,MASSAGE,MCD_REFERRAL,OTHER_NON_RES,ENVIRONMENTAL_REVIEW_TYPE,LAND_USE_RC_EXIST,LAND_USE_RC_PROP,LAND_USE_RC_NET,LAND_USE_RESIDENTIAL_EXIST,LAND_USE_RESIDENTIAL_PROP,LAND_USE_RESIDENTIAL_NET,LAND_USE_CIE_EXIST,LAND_USE_CIE_PROP,LAND_USE_CIE_NET,LAND_USE_PDR_EXIST,LAND_USE_PDR_PROP,LAND_USE_PDR_NET,LAND_USE_OFFICE_EXIST,LAND_USE_OFFICE_PROP,LAND_USE_OFFICE_NET,LAND_USE_MEDICAL_EXIST,LAND_USE_MEDICAL_PROP,LAND_USE_MEDICAL_NET,LAND_USE_VISITOR_EXIST,LAND_USE_VISITOR_PROP,LAND_USE_VISITOR_NET,LAND_USE_PARKING_SPACES_EXIST,LAND_USE_PARKING_SPACES_PROP,LAND_USE_PARKING_SPACES_NET,PRJ_FEATURE_AFFORDABLE_EXIST,PRJ_FEATURE_AFFORDABLE_PROP,PRJ_FEATURE_AFFORDABLE_NET,PRJ_FEATURE_HOTEL_ROOMS_EXIST,PRJ_FEATURE_HOTEL_ROOMS_PROP,PRJ_FEATURE_HOTEL_ROOMS_NET,PRJ_FEATURE_MARKET_RATE_EXIST,PRJ_FEATURE_MARKET_RATE_PROP,PRJ_FEATURE_MARKET_RATE_NET,PRJ_FEATURE_BUILD_EXIST,PRJ_FEATURE_BUILD_PROP,PRJ_FEATURE_BUILD_NET,PRJ_FEATURE_STORIES_EXIST,PRJ_FEATURE_STORIES_PROP,PRJ_FEATURE_STORIES_NET,PRJ_FEATURE_PARKING_EXIST,PRJ_FEATURE_PARKING_PROP,PRJ_FEATURE_PARKING_NET,PRJ_FEATURE_LOADING_EXIST,PRJ_FEATURE_LOADING_PROP,PRJ_FEATURE_LOADING_NET,PRJ_FEATURE_BIKE_EXIST,PRJ_FEATURE_BIKE_PROP,PRJ_FEATURE_BIKE_NET,PRJ_FEATURE_CAR_SHARE_EXIST,PRJ_FEATURE_CAR_SHARE_PROP,PRJ_FEATURE_CAR_SHARE_NET,PRJ_FEATURE_USABLE_EXIST,PRJ_FEATURE_USABLE_PROP,PRJ_FEATURE_USABLE_NET,PRJ_FEATURE_PUBLIC_EXIST,PRJ_FEATURE_PUBLIC_PROP,PRJ_FEATURE_PUBLIC_NET,PRJ_FEATURE_ART_EXIST,PRJ_FEATURE_ART_PROP,PRJ_FEATURE_ART_NET,PRJ_FEATURE_ROOF_EXIST,PRJ_FEATURE_ROOF_PROP,PRJ_FEATURE_ROOF_NET,PRJ_FEATURE_SOLAR_EXIST,PRJ_FEATURE_SOLAR_PROP,PRJ_FEATURE_SOLAR_NET,PRJ_FEATURE_LIVING_EXIST,PRJ_FEATURE_LIVING_PROP,PRJ_FEATURE_LIVING_NET,PRJ_FEATURE_OTHER,PRJ_FEATURE_OTHER_EXIST,PRJ_FEATURE_OTHER_PROP,PRJ_FEATURE_OTHER_NET,RESIDENTIAL_STUDIO_EXIST,RESIDENTIAL_STUDIO_PROP,RESIDENTIAL_STUDIO_NET,RESIDENTIAL_1BR_EXIST,RESIDENTIAL_1BR_PROP,RESIDENTIAL_1BR_NET,RESIDENTIAL_2BR_EXIST,RESIDENTIAL_2BR_PROP,RESIDENTIAL_2BR_NET,RESIDENTIAL_3BR_EXIST,RESIDENTIAL_3BR_PROP,RESIDENTIAL_3BR_NET,RESIDENTIAL_ADU_STUDIO_EXIST,RESIDENTIAL_ADU_STUDIO_PROP,RESIDENTIAL_ADU_STUDIO_NET,RESIDENTIAL_ADU_STUDIO_AREA,RESIDENTIAL_ADU_1BR_EXIST,RESIDENTIAL_ADU_1BR_PROP,RESIDENTIAL_ADU_1BR_NET,RESIDENTIAL_ADU_1BR_AREA,RESIDENTIAL_ADU_2BR_EXIST,RESIDENTIAL_ADU_2BR_PROP,RESIDENTIAL_ADU_2BR_NET,RESIDENTIAL_ADU_2BR_AREA,RESIDENTIAL_ADU_3BR_EXIST,RESIDENTIAL_ADU_3BR_PROP,RESIDENTIAL_ADU_3BR_NET,RESIDENTIAL_ADU_3BR_AREA,RESIDENTIAL_GH_ROOMS_EXIST,RESIDENTIAL_GH_ROOMS_PROP,RESIDENTIAL_GH_ROOMS_NET,RESIDENTIAL_GH_BEDS_EXIST,RESIDENTIAL_GH_BEDS_PROP,RESIDENTIAL_GH_BEDS_NET,RESIDENTIAL_SRO_EXIST,RESIDENTIAL_SRO_PROP,RESIDENTIAL_SRO_NET,RESIDENTIAL_MICRO_EXIST,RESIDENTIAL_MICRO_PROP,RESIDENTIAL_MICRO_NET,RELATED_BUILDING_PERMIT,BOS_1ST_READ,BOS_2ND_READ,COM_HEARING,MAYORAL_SIGN,TRANSMIT_DATE_BOS,COM_HEARING_DATE_BOS,Shape_Length,Shape_Area
"MULTIPOLYGON (((-122.390146674 37.787310971, -122.39047725 37.78704965, -122.390645676 37.787183003, -122.390312301 37.787446538, -122.389962894 37.787722742, -122.389797269 37.787587174, -122.390146674 37.787310971)))",156860,1990.858S,12/21/1990 12:00:00 AM +0000,Closed - Approved,01/14/1991 12:00:00 AM +0000,"429 BEALE ST, SAN FRANCISCO, CA 94105",Subdivision-REF (SUB),SUB,Planning,Referral,Applications,Planning/Applications/Referral/SUB,430 Main St+,lot line adjustment to merge two units into one unit.,GMS,Planning,90HIS-00000-00IMS,1990.858,,0,,,,https://aca.accela.com/ccsf/Cap/CapDetail.aspx?Module=Planning&TabName=Planning&capID1=90HIS&capID2=00000&capID3=00IMS&agencyCode=CCSF,https://av.accela.com/portlets/cap/capsummary/CapTabSummary.do?mode=tabSummary&serviceProviderCode=CCSF&ID1=90HIS&ID2=00000&ID3=00IMS&requireNotice=YES&clearForm=clearForm&module=Planning&isGeneralCAP=N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002165989168758,0.000000181584435
"MULTIPOLYGON (((-122.467561946 37.774389437, -122.467979775 37.77437041, -122.467984738 37.774438956, -122.467566908 37.774457981, -122.467562938 37.774403145, -122.467561946 37.774389437)))",10686,2017-007883PRJ,06/22/2017 12:00:00 AM +0000,Application Accepted,,738 A 10TH AVE 94118,Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,738 10TH AVE,"HORIZONTAL ADDITION ON THE GROUND FLOOR UNIT & 2ND FLOOR. UPPER UNIT, A FAMILY ROOM, A BEDROOM WITH A FULL BATH & A DECK.",SVELLVE,Planning,17CAP-00000-00630,,,0,Sara Vellve,sara.vellve@sfgov.org,415-558-6263,https://aca.accela.com/ccsf/Cap/CapDetail.aspx?Module=Planning&TabName=Planning&capID1=17CAP&capID2=00000&capID3=00630&agencyCode=CCSF,https://av.accela.com/portlets/cap/capsummary/CapTabSummary.do?mode=tabSummary&serviceProviderCode=CCSF&ID1=17CAP&ID2=00000&ID3=00630&requireNotice=YES&clearForm=clearForm&module=Planning&isGeneralCAP=N,,CHECKED,CHECKED,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,201705318009,,,,,,,0.000973973710371,0.000000028734551
"MULTIPOLYGON (((-122.467313504 37.764727538, -122.467318294 37.764796091, -122.466903797 37.764814379, -122.466899007 37.764745826, -122.467313504 37.764727538)))",165194,86-076,03/21/1986 12:00:00 AM +0000,Closed - Appeal Upheld,04/30/1986 12:00:00 AM +0000,,Appeals (APL),APL,Planning,Appeal,Applications,Planning/Applications/Appeal/APL,1258 10TH AV,,PARCE,Planning,86HIS-00000-021LH,,,0,,,,https://aca.accela.com/ccsf/Cap/CapDetail.aspx?Module=Planning&TabName=Planning&capID1=86HIS&capID2=00000&capID3=021LH&agencyCode=CCSF,https://av.accela.com/portlets/cap/capsummary/CapTabSummary.do?mode=tabSummary&serviceProviderCode=CCSF&ID1=86HIS&ID2=00000&ID3=021LH&requireNotice=YES&clearForm=clearForm&module=Planning&isGeneralCAP=N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00096724077538,0.000000028502612
"MULTIPOLYGON (((-122.39047725 37.78704965, -122.390645676 37.787183003, -122.390312301 37.787446538, -122.390146674 37.787310971, -122.39047725 37.78704965)))",77054,8982ZAD,06/04/2010 12:00:00 AM +0000,Closed - Issued,07/21/2010 12:00:00 AM +0000,,Zoning Administrator Determination Letter (ZAD),ZAD,Planning,Letters,Research,Planning/Research/Letters/ZAD,"430 Main & 429 Beale Street (3767, Lots 305 & 306); Letter of Determination","430 Main & 429 Beale Street (3767, Lots 305 & 306); Letter of Determination",BFU,Planning,10HIS-00000-02536,,,0,,,,https://aca.accela.com/ccsf/Cap/CapDetail.aspx?Module=Planning&TabName=Planning&capID1=10HIS&capID2=00000&capID3=02536&agencyCode=CCSF,https://av.accela.com/portlets/cap/capsummary/CapTabSummary.do?mode=tabSummary&serviceProviderCode=CCSF&ID1=10HIS&ID2=00000&ID3=02536&requireNotice=YES&clearForm=clearForm&module=Planning&isGeneralCAP=N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.001275208569416,0.000000088469856
"MULTIPOLYGON (((-122.420392255 37.765559672, -122.420495741 37.765553422, -122.420548187 37.766101109, -122.419919804 37.766139067, -122.419896549 37.76589619, -122.41989127 37.765841061, -122.419867363 37.765591378, -122.420074335 37.765578876, -122.420185282 37.765572174, -122.420392255 37.765559672)))",30519,2016-001514PPA,01/27/2016 12:00:00 AM +0000,Closed - Informational,05/03/2016 12:00:00 AM +0000,1950 MISSION ST 94103,Preliminary Project Assessment (PPA),PPA,Planning,Project Review,Applications,Planning/Applications/Project Review/PPA,1950 MISSION ST,"Demolish 11 modular wood framed buildings at 1950 Mission Street
"MULTIPOLYGON (((-122.390146674 37.787310971, -122.39047725 37.78704965, -122.390645676 37.787183003, -122.390312301 37.787446538, -122.389962894 37.787722742, -122.389797269 37.787587174, -122.390146674 37.787310971)))",90012,2007.1121,09/27/2007 12:00:00 AM +0000,Closed,05/09/2016 12:00:00 AM +0000,"429 BEALE ST, SAN FRANCISCO, CA 94105",Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,429 BEALE ST,"Demolition of existing structures, construction of a new 8 story 84 foot building with 113 dwelling units and 57 parking spaces",,Planning,07HIS-00000-01F1H,,"09-053,2007.1121E,2007.1121E_3,2007.1121E_5,2007.1121E_7,2007.1121K,2007.1121V,2007.1121X,V09-055",0,,,,https://aca.accela.com/ccsf/Cap/CapDetail.aspx?Module=Planning&TabName=Planning&capID1=07HIS&capID2=00000&capID3=01F1H&agencyCode=CCSF,https://av.accela.com/portlets/cap/capsummary/CapTabSummary.do?mode=tabSummary&serviceProviderCode=CCSF&ID1=07HIS&ID2=00000&ID3=01F1H&requireNotice=YES&clearForm=clearForm&module=Planning&isGeneralCAP=N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002165989168758,0.000000181584435
"MULTIPOLYGON (((-122.417919582 37.775981011, -122.41779697 37.776077885, -122.417453754 37.776349056, -122.417025525 37.776007513, -122.416927898 37.775929647, -122.416854678 37.775871248, -122.416769255 37.775803116, -122.416583973 37.775655337, -122.416828954 37.7754614, -122.416865702 37.775432309, -122.416780279 37.775364177, -122.416872894 37.775290249, -122.417091738 37.775464796, -122.417156729 37.775413457, -122.41729831 37.775524434, -122.417322834 37.775505061, -122.417919582 37.775981011)))",57973,MB1301338,08/20/2013 12:00:00 AM +0000,Closed - Approved,08/22/2013 12:00:00 AM +0000,"8 10TH ST, SAN FRANCISCO, CA 94117",Misc. Permits-REF (MIS),MIS,Planning,Referral,Applications,Planning/Applications/Referral/MIS,"HPM OF AMERICA, LLC",- continuation of existing parking facility is permitted.,JSHAMBRA,Planning,13HIS-00000-02SQG,,,0,,,,https://aca.accela.com/ccsf/Cap/CapDetail.aspx?Module=Planning&TabName=Planning&capID1=13HIS&capID2=00000&capID3=02SQG&agencyCode=CCSF,https://av.accela.com/portlets/cap/capsummary/CapTabSummary.do?mode=tabSummary&serviceProviderCode=CCSF&ID1=13HIS&ID2=00000&ID3=02SQG&requireNotice=YES&clearForm=clearForm&module=Planning&isGeneralCAP=N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.003630518219006,0.000000631321336
"MULTIPOLYGON (((-122.466780014 37.763042601, -122.467194508 37.763024399, -122.467200255 37.763106663, -122.467205044 37.763175216, -122.46679055 37.763193418, -122.466785761 37.763124865, -122.466780014 37.763042601)))",112155,2004.0049E,04/19/2004 12:00:00 AM +0000,Closed - CEQA Clearance Issued,11/22/2004 12:00:00 AM +0000,"1348 10TH AV, SAN FRANCISCO, CA 94122",Environmental (ENV),ENV,Planning,Environmental,Applications,Planning/Applications/Environmental/ENV,1348 10TH AV,The project proposes to demolish the structure (used for school) located at 1338 10th Avenue and to construct a new structure at the site for use by the existing elementary school. CU Authorization is requested for an increase in the elementary school use per Section 209.3(g) in the RH-2 District. A rear yard Variance is sought for new construction of the structure within the req rear yard.  A Certificate of Appropriateness is sought to renovate and repair Landmark No. 29 (The Old Firehouse).,NTURRELL,Planning,04HIS-00000-015BD,2004.0049,,0,,,,https://aca.accela.com/ccsf/Cap/CapDetail.aspx?Module=Planning&TabName=Planning&capID1=04HIS&capID2=00000&capID3=015BD&agencyCode=CCSF,https://av.accela.com/portlets/cap/capsummary/CapTabSummary.do?mode=tabSummary&serviceProviderCode=CCSF&ID1=04HIS&ID2=00000&ID3=015BD&requireNotice=YES&clearForm=clearForm&module=Planning&isGeneralCAP=N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.00113215607749,0.000000062704518
"MULTIPOLYGON (((-122.390146674 37.787310971, -122.39047725 37.78704965, -122.390645676 37.787183003, -122.390312301 37.787446538, -122.389962894 37.787722742, -122.389797269 37.787587174, -122.390146674 37.787310971)))",90011,2007.1121X,09/27/2007 12:00:00 AM +0000,Closed - Approved,05/14/2009 12:00:00 AM +0000,"429 BEALE ST, SAN FRANCISCO, CA 94105",Downtown Exception-309 (DNX),DNX,Planning,Planning Entitlements,Applications,Planning/Applications/Planning Entitlements/DNX,429 BEALE ST,"Demolition of existing structures, construction of a new 8 story 84 foot building with 113 dwelling units and 57 parking spaces",BFU,Planning,07HIS-00000-01F3D,2007.1121,,17750000,,,,https://aca.accela.com/ccsf/Cap/CapDetail.aspx?Module=Planning&TabName=Planning&capID1=07HIS&capID2=00000&capID3=01F3D&agencyCode=CCSF,https://av.accela.com/portlets/cap/capsummary/CapTabSummary.do?mode=tabSummary&serviceProviderCode=CCSF&ID1=07HIS&ID2=00000&ID3=01F3D&requireNotice=YES&clearForm=clearForm&module=Planning&isGeneralCAP=N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002165989168758,0.000000181584435
"MULTIPOLYGON (((-122.468301019 37.781010049, -122.468320849 37.781283944, -122.46847631 37.781276922, -122.468481293 37.781345752, -122.468066733 37.781364478, -122.467647697 37.781383405, -122.467622886 37.781040678, -122.468301019 37.781010049)))",94663,2007.0023,01/04/2007 12:00:00 AM +0000,Closed,,"389 09TH AV, SAN FRANCISCO, CA 94118",Project Profile (PRJ),PRJ,Planning,Project,Project,Planning/Project/Project/PRJ,378 10TH AV,WTS installation of approximately six panel antennas and associated cabinets.,,Planning,07HIS-00000-01D0V,,2007.0023C,0,,,,https://aca.accela.com/ccsf/Cap/CapDetail.aspx?Module=Planning&TabName=Planning&capID1=07HIS&capID2=00000&capID3=01D0V&agencyCode=CCSF,https://av.accela.com/portlets/cap/capsummary/CapTabSummary.do?mode=tabSummary&serviceProviderCode=CCSF&ID1=07HIS&ID2=00000&ID3=01D0V&requireNotice=YES&clearForm=clearForm&module=Planning&isGeneralCAP=N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.002356135749836,0.000000243909833
"MULTIPOLYGON (((-122.46678637 37.758794114, -122.46689862 37.758789175, -122.46690341 37.758857728, -122.466487121 37.758876043, -122.466482332 37.75880749, -122.466527327 37.75880551, -122.466613674 37.758801712, -122.466700021 37.758797913, -122.46678637 37.758794114)))",162349,88-171,01/01/1988 12:00:00 AM +0000,Closed,05/09/2016 12:00:00 AM +0000,,Appeals (APL),APL,Planning,Appeal,Applications,Planning/Applications/Appeal/APL,1578 10TH AV,,,Planning,88HIS-00000-024NU,,,0,,,,https://aca.accela.com/ccsf/Cap/CapDetail.aspx?Module=Planning&TabName=Planning&capID1=88HIS&capID2=00000&capID3=024NU&agencyCode=CCSF,https://av.accela.com/portlets/cap/capsummary/CapTabSummary.do?mode=tabSummary&serviceProviderCode=CCSF&ID1=88HIS&ID2=00000&ID3=024NU&requireNotice=YES&clearForm=clearForm&module=Planning&isGeneralCAP=N,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.000970822610227,0.000000028625444
